Indicator,Country Name,1990,1994,1998,2002,2006,2010,2014,2018,2021,2022
"Population, total",Afghanistan,10694796,15455555,18493132,21000256,25442944,28189672,32716210,36686784,40099462,41128771
"Population, total",Albania,3286542,3207536,3128530,3051010,2992547,2913021,2889104,2866376,2811666,2775634
"Population, total",Algeria,25518074,27937006,29924668,31624696,33435080,35856344,38760168,41927007,44177969,44903225
"Population, total",American Samoa,47818,52288,56603,58177,56837,54849,52217,48424,45035,44273
"Population, total",Andorra,53569,61037,65186,70849,80221,71519,71621,75013,79034,79824
"Population, total",Angola,11828638,13462031,15366864,17516139,20162340,23364185,27128337,31273533,34503774,35588987
"Population, total",Antigua and Barbuda,63328,67072,72572,77195,80895,85695,89236,91626,93219,93763
"Population, total",Argentina,32637657,34488696,36233195,37885028,39476851,40788453,42669500,44494502,45808747,46234830
"Population, total",Armenia,3556539,3373713,3240550,3105037,3026486,2946293,2889930,2836557,2790974,2780469
"Population, total",Aruba,65712,74710,84355,91781,95606,100341,103594,105962,106537,106445
"Population, total",Australia,17065128,17805468,18607584,19495210,20450966,22031750,23475686,24966643,25688079,25978935
"Population, total",Austria,7677850,7936118,7976789,8081957,8268641,8363404,8546356,8840521,8955797,9042528
"Population, total",Azerbaijan,7175200,7596550,7913000,8171950,8484550,9054332,9535079,9939771,10137750,10175016
"Population, total","Bahamas, The",270679,293997,315398,334002,352664,373272,389131,401906,407906,409984
"Population, total",Bahrain,517418,593254,672484,748324,970981,1213645,1311134,1487340,1463265,1472233
"Population, total",Bangladesh,107147651,115614891,124350471,134139826,142628831,148391139,155961299,163683958,169356251,171186372
"Population, total",Barbados,258868,261712,263642,266455,270425,274711,277493,279688,281200,281635
"Population, total",Belarus,10189348,10226955,10071963,9865548,9604924,9483836,9448515,9438785,9302585,9208701
"Population, total",Belgium,9967379,10115603,10203008,10332785,10547958,10895586,11209057,11427054,11592952,11669446
"Population, total",Belize,182589,198416,224907,255987,288729,322106,352335,382066,400031,405272
"Population, total",Benin,5133419,5923394,6584183,7431783,8402631,9445710,10614844,11940683,12996895,13352864
"Population, total",Bermuda,59326,59320,60943,62912,64523,65124,65138,63918,63764,63532
"Population, total",Bhutan,558442,521260,557143,619048,673260,705516,736357,762096,777486,782455
"Population, total",Bolivia,7096194,7693722,8286928,8900583,9542663,10223270,10916987,11606905,12079472,12224110
"Population, total",Bosnia and Herzegovina,4494310,3762330,4115059,4198410,4058086,3811088,3571068,3400129,3270943,3233526
"Population, total",Botswana,1341474,1503544,1655699,1795130,1928704,2091664,2260376,2451409,2588423,2630296
"Population, total",Brazil,150706446,160980472,171039804,180476685,188820682,196353492,203459650,210166592,214326223,215313498
"Population, total",British Virgin Islands,15617,17255,19079,21288,24323,27556,28971,30335,31122,31305
"Population, total",Brunei Darussalam,261928,291935,320152,347463,372808,396053,416656,434274,445373,449002
"Population, total",Bulgaria,8718289,8443591,8256786,7837161,7601022,7395599,7223938,7025037,6877743,6465097
"Population, total",Burkina Faso,9131361,10091256,11201063,12632269,14316242,16116845,18169842,20392723,22100683,22673762
"Population, total",Burundi,5483793,5586408,6035340,6648938,7658190,9126605,10494913,11493472,12551213,12889576
"Population, total",Cabo Verde,364563,401655,440214,473231,498884,521212,546076,571202,587925,593149
"Population, total",Cambodia,8910808,10636353,11669077,12561779,13477779,14363532,15210817,16025238,16589023,16767842
"Population, total",Cameroon,11430520,12848862,14314599,15914033,17751333,19878036,22299585,25076747,27198628,27914536
"Population, total",Canada,27691138,29000663,30155173,31360079,32571174,34004889,35437435,37065084,38226498,38929902
"Population, total",Cayman Islands,26027,31418,36947,42456,48177,54074,59559,64884,68136,68706
"Population, total",Central African Republic,2809221,3187844,3555064,3930648,4294352,4660067,4798734,5094780,5457154,5579144
"Population, total",Chad,5827069,6592998,7709115,8838369,10365614,11894727,13697126,15604210,17179740,17723315
"Population, total",Channel Islands,140601,142466,144211,147167,151985,156933,160912,167259,172683,174079
"Population, total",Chile,13342868,14210674,14996742,15693790,16334575,17004162,17687108,18701450,19493184,19603733
"Population, total",China,1135185000,1191835000,1241935000,1280400000,1311020000,1337705000,1371860000,1402760000,1412360000,1412175000
"Population, total",Colombia,32601393,35295461,37944414,40454050,42772910,44816108,46677947,49276961,51516562,51874024
"Population, total",Comoros,431119,473478,515959,559047,604658,656024,714612,776313,821625,836774
"Population, total","Congo, Dem. Rep.",35987541,41511985,45895524,51662071,58381630,66391257,76035588,87087355,95894118,99010212
"Population, total","Congo, Rep.",2385435,2669220,2937166,3331158,3813323,4437884,4944861,5441062,5835806,5970424
"Population, total",Costa Rica,3158253,3489152,3821421,4122623,4378172,4622252,4844288,5040734,5153957,5180829
"Population, total",Cote d'Ivoire,11910540,13802285,15858990,17683897,19394057,21120042,22995555,25493988,27478249,28160542
"Population, total",Croatia,4777368,4652024,4532135,4302174,4311159,4295427,4238389,4087843,3879000,3854000
"Population, total",Cuba,10626680,10887207,11033758,11170051,11260630,11290417,11332026,11328244,11256372,11212191
"Population, total",Curacao,145400,144630,144472,129205,141239,148703,155909,159336,152369,149996
"Population, total",Cyprus,788500,844444,914660,982194,1055438,1129686,1176995,1218831,1244188,1251488
"Population, total",Czechia,10333355,10333587,10294373,10196916,10238905,10474410,10525347,10629928,10505772,10526073
"Population, total",Denmark,5140939,5206180,5304219,5375931,5437272,5547683,5643475,5793636,5856733,5903037
"Population, total",Djibouti,577173,623477,694920,789129,846947,919199,989087,1057198,1105557,1120849
"Population, total",Dominica,69481,69198,68938,68262,68742,68755,69371,70823,72412,72737
"Population, total",Dominican Republic,7129004,7723934,8282126,8795101,9284168,9775755,10282115,10765531,11117873,11228821
"Population, total",Ecuador,10449837,11347652,12199693,13070609,14009061,14989585,15957994,17015672,17797737,18001000
"Population, total","Egypt, Arab Rep.",57214630,62775847,68446011,74393759,80629670,87252413,95592324,103740765,109262178,110990103
"Population, total",El Salvador,5367179,5693038,5885083,6011275,6034436,6114034,6209526,6276342,6314167,6336392
"Population, total",Equatorial Guinea,465549,539992,629734,754115,905418,1094524,1295183,1502091,1634466,1674908
"Population, total",Eritrea,2149960,2042500,2322753,2547424,2880093,3147727,3323425,3445374,3620312,3684032
